59  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42648.266720 -8.840036 0.000000
60  16 300.000000 -1.000000 0.750000 0.750000 0.100000 5.000000 0.000000 -42805.743492 -16.230604 0.000000
61  21 300.000000 -1.000000 1.000000 1.000000 0.100000 5.000000 0.000000 -42809.089818 -14.408995 0.000000
62  19 300.000000 -1.000000 0.900000 0.900000 0.100000 5.000000 0.000000 -42800.602114 -19.142663 0.000000
63  13 300.000000 -1.000000 0.600000 0.600000 0.100000 5.000000 0.000000 -42725.508843 -8.969531 0.000000
64  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42507.005133 -4.426832 0.000000
65  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42662.850900 -8.059496 0.000000
66  18 300.000000 -1.000000 0.850000 0.850000 0.100000 5.000000 0.000000 -42600.682844 -16.001378 0.000000
67  19 300.000000 -1.000000 0.900000 0.900000 0.100000 5.000000 0.000000 -42903.820591 -14.767445 0.000000
68  19 300.000000 -1.000000 0.900000 0.900000 0.100000 5.000000 0.000000 -42727.820394 -9.161048 0.000000
69  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42645.272903 -9.317652 0.000000
70  14 300.000000 -1.000000 0.650000 0.650000 0.100000 5.000000 0.000000 -42643.179390 -14.362853 0.000000
71  19 300.000000 -1.000000 0.900000 0.900000 0.100000 5.000000 0.000000 -42647.155667 -14.446817 0.000000
72  10 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42835.769702 -9.457447 0.000000
73  8 300.000000 -1.000000 0.400000 0.400000 0.100000 5.000000 0.000000 -42639.714706 -5.784260 0.000000
74  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42838.966598 -7.837894 0.000000
75  10 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42730.951654 -9.926563 0.000000
76  13 300.000000 -1.000000 0.600000 0.600000 0.100000 5.000000 0.000000 -42471.831575 -9.151173 0.000000
77  15 300.000000 -1.000000 0.700000 0.700000 0.100000 5.000000 0.000000 -42839.434973 -10.057878 0.000000
78  16 300.000000 -1.000000 0.750000 0.750000 0.100000 5.000000 0.000000 -42703.914870 -9.298875 0.000000
79  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42788.853734 -11.606402 0.000000
80  13 300.000000 -1.000000 0.600000 0.600000 0.100000 5.000000 0.000000 -42766.810406 -12.064397 0.000000
81  15 300.000000 -1.000000 0.700000 0.700000 0.100000 5.000000 0.000000 -42835.985392 -13.232813 0.000000
82  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42802.855482 -6.262864 0.000000
83  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42678.862651 -7.091672 0.000000
84  11 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42731.510205 -15.256036 0.000000
